index,lensed,completed,z_lens,z_source,theta_E_arcsec,sigma_v_kms,sigma_v_F115W_kms,sigma_v_F150W_kms,sigma_v_F277W_kms,einstein_mass_msun,lens_mag_F115W_ab,lens_mag_F150W_ab,lens_mag_F277W_ab
150,0,1,0.731089,2.0303,0,221.803,nan,nan,nan,0,20.0062,19.546,18.7871
151,0,1,0.68,1.27273,0,121.255,126.725,117.575,121.255,0,23.4108,23.3081,22.8589
152,0,1,0.26,1.22222,0,80,76.1898,72.1906,67.3182,0,23.1558,22.9618,22.9499
153,0,1,1.06,1.63158,0,139.371,139.371,135.156,140.428,0,24.1804,23.8856,23.4041
154,0,1,0.320861,1.5,0,213.672,nan,nan,nan,0,18.6009,18.2619,18.2296
155,0,1,1.06,1.32558,0,135.443,134.517,135.443,150.47,0,24.3343,23.8764,23.1041
156,0,1,0.78,3.7619,0,146.635,156.351,144.273,146.635,0,22.8622,22.7833,22.3974
157,0,1,0.62,2.0303,0,104.246,107.626,102.365,104.246,0,23.8765,23.6661,23.2716
158,0,1,0.647969,3.7619,0,165.61,nan,nan,nan,0,20.1525,19.7615,19.2824
159,0,1,0.43,1.63158,0,133.909,137.441,133.909,132.253,0,21.8621,21.547,21.2857
160,0,1,0.800644,1.5,0,245.611,nan,nan,nan,0,19.8114,19.3625,18.7076
161,0,1,1.84,3.34783,0,204.767,204.684,204.767,215.027,0,23.9847,23.5548,23.0271
162,0,1,0.65,2.44828,0,194.517,196.395,191.205,194.517,0,21.3889,21.0771,20.6871
163,0,1,1.09,3,0,238.044,237.981,238.044,257.943,0,21.9314,21.5021,20.8381
164,0,1,1.86,2.33333,0,221.991,228.865,221.991,216.158,0,23.5284,23.2328,23.033
165,0,1,0.921289,2.57143,0,290.526,nan,nan,nan,0,19.869,19.3731,18.6196
166,0,1,0.27,2.84615,0,80,86.249,78.6149,68.8684,0,22.7106,22.685,22.9445
167,0,1,1.62,1.17391,0,174.122,174.122,173.773,195.947,0,24.348,23.9286,23.0917
168,0,1,0.264958,1.77778,0,203.855,nan,nan,nan,0,17.651,17.3281,17.4041
169,0,1,0.27,4,0,80,81.8348,74.5398,65.661,0,22.9388,22.9162,23.1516
170,0,1,0.63,1.85714,0,130.885,130.885,127.608,132.537,0,23.0689,22.7509,22.271
171,0,1,0.39,3.54545,0,140.887,146.755,140.887,134.618,0,21.3272,21.0764,20.9586
172,0,1,0.71,1.22222,0,265.631,264.28,265.631,283.504,0,20.333,19.8828,19.2846
173,0,1,0.45,1.22222,0,86.1241,90.9535,85.4669,86.1241,0,23.7721,23.6142,23.2656
174,0,1,0.65,1.77778,0,119.104,122.734,114.887,119.104,0,23.4306,23.2894,22.8174
175,0,1,0.62,1.85714,0,115.743,128.476,115.743,115.234,0,23.1075,23.1327,22.8364
176,0,1,0.7,2.0303,0,125.152,125.152,123.179,129.023,0,23.5417,23.1826,22.6659
177,0,1,0.264546,2.7037,0,229.98,nan,nan,nan,0,18.5465,18.2344,18.3241
178,0,1,0.88,1.7027,0,170.728,170.728,166.872,175.482,0,22.8015,22.4726,21.9388
179,0,1,0.92,2.84615,0,147.244,147.244,141.738,150.295,0,23.5629,23.3003,22.7303
180,0,1,0.49,2.22581,0,98.9526,105.92,98.9526,95.3033,0,23.3308,23.1982,23.046
181,0,1,1.18,1.38095,0,252.995,251.326,252.995,278.489,0,21.9068,21.45,20.7176
182,0,1,0.89,1.94118,0,138.498,138.498,132.857,138.812,0,23.7403,23.4928,22.987
183,0,1,0.82,1.22222,0,132.454,132.454,128.1,136.208,0,23.7156,23.4327,22.8508
